"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1840"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Children's home","Number","46"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Nursing home","Number","12809"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Hospital","Number","3449"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Defence establishment","Number","3"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Prison","Number","84"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","814"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Other, including not stated","Number","458"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","All persons","Number","7662"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","Hotel","Number","2508"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","Guest house, boarding house or B&B","Number","213"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","Tourist/youth hostel or campsite","Number","146"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","Student specific accommodation","Number","1098"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","Religious community","Number","801"
"People with a disability","2022","Female","Total persons with a disability","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","175"
